license_number,dba,district,county_number,county_name,license_type_code,location_address,location_city,location_zip_code,long,lat,number_of_inspections,number_of_total_violations,number_of_total_violations_ranked,simple_sum_score_health,simple_sum_score_health_ranked,simple_sum_score_administrative,simple_sum_score_administrative_ranked,simple_sum_score_facility,simple_sum_score_facility_ranked,serialid
1301269,BOARS HEAD REST AND TAVERN,D6,13,Bay,2010,17290 FRONT BEACH RD,PANAMA CITY BCH,324132104,,,2,14,0.9127483027,6,0.8620819713,0,0.2904199145,2,0.769540241,139
1301374,MCDONALDS #4772,D6,13,Bay,2010,121 N TYNDALL PKWY,PANAMA CITY,324046431,,,1,5,0.4775826386,3,0.520202704,0,0.2904199145,1,0.4724956964,140
1301551,JOHN BOY'S SHOPPE,D6,13,Bay,2010,325 S TYNDALL PKWY,CALLAWAY,324046725,,,2,5,0.4775826386,2.5,0.4410359568,0,0.2904199145,0.75,0.3586971238,142
1302181,GALLEY (THE),D6,13,Bay,2010,12201 HUTCHINSON BLVD,PANAMA CITY BCH,324073404,,,1,8,0.7019980271,6,0.8620819713,0,0.2904199145,0,0.1068257867,145
1302182,SHIPWRECK PIZZA,D6,13,Bay,2010,12201 HUTCHINSON BLVD,PANAMA CITY BCH,324073403,,,1,3,0.2841724531,2,0.3567919383,0,0.2904199145,1,0.4724956964,146
1302238,PIZZA HUT #2047,D6,13,Bay,2010,221 W 23 ST,PANAMA CITY,324054537,,,2,2,0.1845515561,1.5,0.2758360573,0,0.2904199145,0.5,0.2874025647,147
1302273,BILLY'S OYSTER BAR,D6,13,Bay,2010,3000 THOMAS DR,PANAMA CITY BCH,324086229,,,1,15,0.9291309646,7,0.9199531924,0,0.2904199145,3,0.9183381366,148
1302285,WENDYS #3,D6,13,Bay,2010,109 S TYNDALL PKY,PANAMA CITY,324046722,,,1,5,0.4775826386,3,0.520202704,0,0.2904199145,0.5,0.2874025647,149
1302681,SHIPWRECK HOT DOGS,D6,13,Bay,2010,12201 HUTCHINSON BLVD,PANAMA CITY BCH,324073404,,,1,4,0.3849345274,3,0.520202704,0,0.2904199145,1,0.4724956964,157
1302722,KFC L747001,D6,13,Bay,2010,427 S TYNDALL PKY,PANAMA CITY,324046740,,,2,3,0.2841724531,2.5,0.4410359568,0,0.2904199145,0.5,0.2874025647,158
1302902,LOS RANCHEROS MEX REST,D6,13,Bay,2010,208 W 23 ST,PANAMA CITY,32405-4505,,,3,4.25,0.4151660509,2,0.3567919383,0.75,0.8307672966,0.5,0.2874025647,161
1302943,23RD STREET WAFFLE SHOP,D6,13,Bay,2010,214 W 23 ST,PANAMA CITY,324054505,,,3,5.4285714286,0.512117754,3.4285714286,0.5808495,0,0.2904199145,0.5714285714,0.3267248216,163
1302981,FLAPJACKS,D6,13,Bay,2010,2004 S HWY 77,LYNN HAVEN,324444232,,,2,5,0.4775826386,3.6666666667,0.6192239995,0.3333333333,0.6322411559,0.3333333333,0.2339509874,165
1303043,WENDY'S #4,D6,13,Bay,2010,610 W 23 ST,PANAMA CITY,32405-3921,,,1,2,0.1845515561,0,0.0546024255,0,0.2904199145,2,0.769540241,167
1303388,EDGEWATER BEACH RESORT CONFR,D6,13,Bay,2010,11212 W FRONT BEACH RD,PANAMA CITY BCH,324073603,,,2,5,0.4775826386,1.75,0.3042397633,1,0.9018974488,1.75,0.7038161738,172
1303649,TACO BELL,D6,13,Bay,2010,434 S TYNDALL PKWY,PANAMA CITY,32404,,,1,2,0.1845515561,1,0.1951026092,0,0.2904199145,1,0.4724956964,176
1303681,WAFFLE SHOPPE,D6,13,Bay,2010,2802 THOMAS DR,PANAMA CITY BEACH,32408,,,2,7,0.6371636912,4.3333333333,0.7070462854,0,0.2904199145,1.6666666667,0.6916113808,177
1303797,SONIC DRIVE-IN OF PANAMA CITY #1237,D6,13,Bay,2010,224 W 23 ST,PANAMA CITY,324054505,,,1,10,0.7998684745,6,0.8620819713,1,0.9018974488,3,0.9183381366,178
1303813,SUNNYSIDE GRILL,D6,13,Bay,2010,21828 FRONT BEACH RD,SUNNYSIDE,324133320,,,1,14,0.9127483027,7,0.9199531924,1,0.9018974488,3,0.9183381366,179
1303823,SHIPWRECK ISLAND ICE CREAM SHP,D6,13,Bay,2010,12201 HUTCHINSON BLVD,PANAMA CITY BCH,324073404,,,1,4,0.3849345274,3,0.520202704,0,0.2904199145,1,0.4724956964,180
1303828,GYRO CAFE,D6,13,Bay,2010,665 W 23 ST,PANAMA CITY,324053922,,,2,3.5,0.3365408793,2,0.3567919383,0.5,0.7254695267,1,0.4724956964,181
1304014,DUSTY'S OYSTER BAR,D6,13,Bay,2010,16450 FRONT BCH RD,PANAMA CITY BCH,32413-2454,,,2,8.5,0.7307208758,4.5,0.7258176824,0.5,0.7254695267,1.5,0.6478307963,184
1304048,PO FOLKS,D6,13,Bay,2010,339 N TYNDALL PKWY,PANAMA CITY,324046124,,,2,13,0.8923908628,5.5,0.8242103634,0.5,0.7254695267,3,0.9183381366,187
1304052,THE VIEW,D6,13,Bay,2010,11127 W FRONT BEACH ROAD,PANAMA CITY BEA,32407-3529,,,2,11,0.8372371908,5.5,0.8242103634,0,0.2904199145,2,0.769540241,188
1304101,CORAM'S STEAK & EGG,D6,13,Bay,2010,804 S TYNDALL PKWY,PARKER,324046930,,,2,5,0.4775826386,3,0.520202704,0.6666666667,0.8068315893,0,0.1068257867,190
1304114,HUNGRY HOWIES,D6,13,Bay,2010,607 E 23 ST,PANAMA CITY,324055325,,,1,3.5,0.3365408793,2.5,0.4410359568,0,0.2904199145,0,0.1068257867,192
1304130,LAGUNA CAFE,D6,13,Bay,2010,20012 E FRONT BEACH RD,PANAMA CITY BEACH,324134429,,,1,6,0.5621844839,3,0.520202704,1,0.9018974488,1,0.4724956964,193
1304227,CHICK FIL A,D6,13,Bay,2010,661 U S HWY 231,PANAMA CITY,324054704,,,2,4.5,0.4325254831,2.5,0.4410359568,0,0.2904199145,1.5,0.6478307963,196
1304241,HUNGRY HOWIES PIZZA & SUBS#261,D6,13,Bay,2010,306 S TYNDALL PKWY,PANAMA CITY,32404,,,1,3,0.2841724531,3,0.520202704,0,0.2904199145,0,0.1068257867,197
1304308,TRIPLE J STEAKHOUSE,D6,13,Bay,2010,2218 THOMAS DR,PANAMA CITY BCH,324085814,,,2,13,0.8923908628,6,0.8620819713,0,0.2904199145,2.5,0.863871105,201
1304310,MCDONALDS #2403,D6,13,Bay,2010,3608 W HWY 98,PANAMA CITY,324011161,,,1,9,0.7553045396,7,0.9199531924,0,0.2904199145,2,0.769540241,202
1304428,WAFFLE HOUSE #1092,D6,13,Bay,2010,17110 BEACH PKWY,PANAMA CITY BCH,32413,,,2,7,0.6371636912,4.5,0.7258176824,0,0.2904199145,1,0.4724956964,209
1304438,PAPA JOHN`S PIZZA,D6,13,Bay,2010,302 W 23 STREET UNIT A,PANAMA CITY,324054506,,,1,3,0.2841724531,3,0.520202704,0,0.2904199145,0,0.1068257867,210
1304467,OCEAN'S BAR & GRILL,D6,13,Bay,2010,11212 FRONT BEACH RD,PANAMA CITY BEACH,32407,,,2,8,0.7019980271,6.5,0.8945281523,0,0.2904199145,1.5,0.6478307963,211
1304504,GULFSIDE FOOD SERVICE,D6,13,Bay,2010,20225 W FRONT BEACH RD,PANAMA CITY BCH,32413,,,1,4,0.3849345274,3,0.520202704,1,0.9018974488,0,0.1068257867,212
1304524,NATURE WALK GOLF COURSE,D6,13,Bay,2010,2900 CLUB HOUSE TURN,LYNN HAVEN,32444,,,1,1,0.0990019535,1,0.1951026092,0,0.2904199145,0,0.1068257867,214
1304549,SEOUL GARDEN REST,D6,13,Bay,2010,416 N TYNDALL PKWY,PANAMA CITY,32404,,,2,7,0.6371636912,4.5,0.7258176824,0,0.2904199145,1.5,0.6478307963,215
1304609,BOARDWALK BEACH RESORT CONVENTION CENTER FOOD COURT,D6,13,Bay,2010,9600 S THOMAS DR,PANAMA CITY BEACH,32408,,,1,6,0.5621844839,4,0.6635655016,0,0.2904199145,2,0.769540241,223
1304610,WAFFLE HOUSE #1247,D6,13,Bay,2010,306 N TYNDALL PKWY,CALLAWAY,32404,,,2,5.5,0.5214792751,3.5,0.5967582832,0,0.2904199145,2,0.769540241,224
1304613,HOMEMADE ICE CREAM SHOPPE,D6,13,Bay,2010,14660 FRONT BEACH RD,PANAMA CITY BCH,32413,,,1,0,0.029602909,0,0.0546024255,0,0.2904199145,0,0.1068257867,225
1304633,CHICK FIL A @ TYNDALL PKWY,D6,13,Bay,2010,401 N TYNDALL PKWY,CALLAWAY,32404,,,2,4.5,0.4325254831,3.5,0.5967582832,0,0.2904199145,1,0.4724956964,227
1304770,GULF WORLD MARINE PARK,D6,13,Bay,2010,15412 FRONT BEACH ROAD,PANAMA CITY BCH,32413,,,1,1,0.0990019535,1,0.1951026092,0,0.2904199145,0,0.1068257867,235
1304791,GRANNY CANTRELL'S,D6,13,Bay,2010,103 23 ST STE E9,PANAMA CITY,32405,,,2,4.5,0.4325254831,2,0.3567919383,0,0.2904199145,1.5,0.6478307963,236
1304802,BAYOU BILLS CRAB HOUSE P C BCH,D6,13,Bay,2010,23100 FRONT BCH RD,PANAMA CITY BCH,32413,,,2,9.5,0.7784955804,4.5,0.7258176824,0,0.2904199145,2.5,0.863871105,237
1304821,HUNGRY HOWIES PIZZA & SUBS 249,D6,13,Bay,2010,17180 FRONT BEACH RD,PANAMA CITY BCH,32413,,,1,4,0.3849345274,3,0.520202704,0,0.2904199145,0,0.1068257867,238
1304888,SONNY'S REAL PIT BBQ,D6,13,Bay,2010,11341 PANAMA CITY BEACH PKWY,PANAMA CITY BEACH,32407,,,2,9,0.7553045396,3.5,0.5967582832,0,0.2904199145,2.5,0.863871105,241
1304901,SUBWAY,D6,13,Bay,2010,287 W 15 ST,PANAMA CITY,32401,,,1,3,0.2841724531,2,0.3567919383,0,0.2904199145,1,0.4724956964,243
1304905,WAFFLE HOUSE #68,D6,13,Bay,2010,631 W 15 ST,PANAMA CITY,32401,,,2,7.5,0.6710218371,4.5,0.7258176824,0,0.2904199145,2.5,0.863871105,244
1304961,DAYS INN & SUITES FS,D6,13,Bay,2010,435 N TYNDALL PKWY,PANAMA CITY,32404,,,1,2,0.1845515561,1,0.1951026092,0,0.2904199145,0,0.1068257867,252
1304976,SUNNYSIDE CAFE,D6,13,Bay,2010,22026 FRONT BEACH RD,PANAMA CITY BCH,32413,,,1,1,0.0990019535,0,0.0546024255,1,0.9018974488,0,0.1068257867,256
1350071,CEDAR ONE,D6,13,Bay,2014,2709 EAST AVE,PANAMA CITY,32401,,,1,3,0.2841724531,0,0.0546024255,1,0.9018974488,2,0.769540241,260
1400067,KEYSTONE INN (THE),D5,14,Bradford,2010,W HWY 100,KEYSTONE HEIGHTS,32656,,,2,9.6666666667,0.785739154,6.3333333333,0.8847604495,0,0.2904199145,1.6666666667,0.6916113808,264
1400117,SONNYS BBQ OF STARKE,D5,14,Bradford,2010,230 TEMPLE AVE,STARKE,32091,,,2,7.3333333333,0.6610703855,4.3333333333,0.7070462854,0,0.2904199145,1,0.4724956964,267
1400212,LITTLE CAESARS,D5,14,Bradford,2010,207 ORANGE STREET,STARKE,32091,,,2,3.5,0.3365408793,3,0.520202704,0.5,0.7254695267,0.5,0.2874025647,275
1500160,EAU GALLIE YACHT CLUB REST,D4,15,Brevard,2010,100 DATURA DR,INDIAN HARBOUR BCH,329374484,,,2,12.6666666667,0.8850602503,6,0.8620819713,0,0.2904199145,1,0.4724956964,279
1500412,MOONLIGHT DR IN REST,D4,15,Brevard,2010,1515 S WASHINGTON,TITUSVILLE,327804712,,,1,4.5,0.4325254831,3,0.520202704,0.5,0.7254695267,0,0.1068257867,285
1500452,ALAMO MEXICAN KITCHEN,D4,15,Brevard,2010,5885 S US HWY 1,ROCKLEDGE,329555736,,,3,8.6666666667,0.7390476006,4.3333333333,0.7070462854,0,0.2904199145,2,0.769540241,286
1500527,GREGORY'S STEAK & SEAFOOD GRILL,D4,15,Brevard,2010,900 N ATLANTIC AVE,COCOA BCH,329313111,,,2,5.5,0.5214792751,2.25,0.409682598,0,0.2904199145,1.25,0.5866230827,288
1500528,HEIDELBERG/JAZZ CLUB,D4,15,Brevard,2010,7 N ORLANDO AVE,COCOA BCH,329312910,,,2,3,0.2841724531,3,0.520202704,0,0.2904199145,0,0.1068257867,289
1500902,EDDIE'S SUNRISE DINER,D4,15,Brevard,2010,55 E NASA BLVD,MELBOURNE,329011933,,,2,14,0.9127483027,5.6,0.834277867,0.4,0.664474575,2.2,0.831589331,290
1501274,COMFORT INN AND SUITE RESORT,D4,15,Brevard,2010,3901 N ATLANTIC AVE,COCOA BCH,329313505,,,2,5,0.4775826386,3.5,0.5967582832,0.5,0.7254695267,1,0.4724956964,293
1501371,ASHLEY'S,D4,15,Brevard,2010,1609 S US HWY 1,ROCKLEDGE,329552817,,,2,3,0.2841724531,2.5,0.4410359568,0,0.2904199145,0.5,0.2874025647,294
1501657,BLUEBERRY MUFFIN,D4,15,Brevard,2010,1130 HWY A1A,INDIALANTIC,32903,,,3,8.25,0.7195702211,4.5,0.7258176824,0.5,0.7254695267,1.25,0.5866230827,299
1502024,NATURES TABLE,D4,15,Brevard,2010,1700 W NEW HAVEN AVE #401,MELBOURNE,32904,,,3,6.5,0.6020676583,3.75,0.6260807334,0.5,0.7254695267,0.25,0.2187095027,315
1502031,NEW HABIT (THE),D4,15,Brevard,2010,3 N ATLANTIC AVE,COCOA BCH,329314319,,,1,0,0.029602909,0,0.0546024255,0,0.2904199145,0,0.1068257867,317
1502059,ARBY'S 1636,D4,15,Brevard,2010,2300 W NEW HAVEN,MELBOURNE,329043708,,,1,5,0.4775826386,4,0.6635655016,0,0.2904199145,0,0.1068257867,320
1502107,ICHABOD'S,D4,15,Brevard,2010,2320 N HWY A1A,INDIALANTIC,329032568,,,2,10.3333333333,0.8135626003,5.3333333333,0.8106322895,0,0.2904199145,2.3333333333,0.8411829558,323
1502261,ARBY'S 1737,D4,15,Brevard,2010,1050 S US HWY 1,ROCKLEDGE,329552716,,,2,4.3333333333,0.419102145,2.6666666667,0.465010348,0.3333333333,0.6322411559,0.6666666667,0.3419953192,328
1502490,TACO BELL #2776,D4,15,Brevard,2010,2035 NEW HAVEN AVE,WEST MELBOURNE,329043801,,,2,8,0.7019980271,5,0.7782344636,0.5,0.7254695267,1.5,0.6478307963,338
1502641,DOUBLES HOAGIES,D4,15,Brevard,2010,575 S WICKHAM STE G,WEST MELBOURNE,329041170,,,3,16.25,0.946055202,6,0.8620819713,1,0.9018974488,3,0.9183381366,344
1502681,CAFE COCONUT COVE,D4,15,Brevard,2010,4210 S HWY A1A,MELBOURNE BCH,329513607,,,2,4,0.3849345274,2,0.3567919383,0,0.2904199145,2,0.769540241,349
1502708,POPEYES CHICKEN & BISCUITS#118,D4,15,Brevard,2010,2225 W NEW HAVEN AVE,MELBOURNE,329043870,,,2,3.6666666667,0.3506992128,1.6666666667,0.297856908,0.3333333333,0.6322411559,1.3333333333,0.6019225934,351
1502737,SPORTS PAIGE,D4,15,Brevard,2010,220 N HWY A1A,SATELLITE BCH,32937,,,3,6.3333333333,0.5903947699,2.3333333333,0.4170422236,0.3333333333,0.6322411559,3,0.9183381366,352
1502792,DOMINO'S PIZZA 4909,D4,15,Brevard,2010,5108 MINTON RD 6,PALM BAY,32907,,,2,10,0.7998684745,7.3333333333,0.9354074389,0.6666666667,0.8068315893,1,0.4724956964,359
1502865,MISTER BBQ,D4,15,Brevard,2010,704 S FISKE BLVD,COCOA,329227111,,,2,5.5,0.5214792751,4.5,0.7258176824,0,0.2904199145,0,0.1068257867,361
1502882,TACO BELL #3749,D4,15,Brevard,2010,1004 HWY A1A,SATELLITE BCH,329372352,,,1,1,0.0990019535,1,0.1951026092,0,0.2904199145,0,0.1068257867,364
1502909,MALABAR MO'S,D4,15,Brevard,2010,2805 MALABAR RD,MALABAR,32950,,,2,9,0.7553045396,6.3333333333,0.8847604495,0,0.2904199145,1.3333333333,0.6019225934,367
1503170,YEN YEN RESTAURANT,D4,15,Brevard,2010,2 N ATLANTIC AVE,COCOA BCH,329312904,,,2,11,0.8372371908,7,0.9199531924,0,0.2904199145,1,0.4724956964,376
1503289,YELLOW DOG CAFE,D4,15,Brevard,2010,905 US HWY 1,MALABAR,32905,,,2,11.5,0.8540453763,6,0.8620819713,0,0.2904199145,2,0.769540241,377
1503457,SONNY'S REAL PIT BBQ,D4,15,Brevard,2010,2005 N ATLANTIC AVE,COCOA BCH,329313312,,,3,11.2,0.8469081836,5,0.7782344636,0,0.2904199145,1.2,0.5817682443,379
