license_number,dba,district,county_number,county_name,license_type_code,location_address,location_city,location_zip_code,long,lat,number_of_inspections,number_of_total_violations,number_of_total_violations_ranked,simple_sum_score_health,simple_sum_score_health_ranked,simple_sum_score_administrative,simple_sum_score_administrative_ranked,simple_sum_score_facility,simple_sum_score_facility_ranked,serialid
1504595,SWISS INN & TENNIS CTR (THE),D4,15,Brevard,2010,3220 S FISKE BLVD,ROCKLEDGE,329554308,,,1,0,0.029602909,0,0.0546024255,0,0.2904199145,0,0.1068257867,446
1504705,HIOKI'S JAPANESE CUISINE,D4,15,Brevard,2010,3360 DIXIE HWY NE,PALM BAY,32905,,,2,15.5,0.9364228932,8,0.9560840216,0,0.2904199145,3,0.9183381366,455
1504728,PERKINS FAMILY REST & BAKERY,D4,15,Brevard,2010,8200 N WICKHAM,VIERA,32940,,,4,6.5,0.6020676583,2.75,0.4725633934,0,0.2904199145,2,0.769540241,458
1504738,SHERE PUNJAB CUISINE OF INDIA,D4,15,Brevard,2010,285 COCOA BCH CSWY,COCOA BCH,32931,,,2,11,0.8372371908,4.5,0.7258176824,0.5,0.7254695267,3,0.9183381366,460
1504756,SUNSET CAFE,D4,15,Brevard,2010,500 W COCOA BCH CSWY,COCOA BCH,32931,,,2,11,0.8372371908,5.5,0.8242103634,0,0.2904199145,2.5,0.863871105,461
1504785,LONG DOGGERS,D4,15,Brevard,2010,890 A1A,INDIALANTIC,32903,,,2,5.3333333333,0.5085394867,2.3333333333,0.4170422236,0,0.2904199145,1.6666666667,0.6916113808,465
1504800,ANACAPRI PIZZERIA,D4,15,Brevard,2010,605 N ATLANTIC AVE,COCOA BCH,32931,,,2,14,0.9127483027,8,0.9560840216,0,0.2904199145,2.5,0.863871105,469
1504805,DENNY'S REST,D4,15,Brevard,2010,NE 840 PALM BAY RD NE,PALM BAY,32905,,,3,8.8,0.7422196863,4.6,0.7393474014,0,0.2904199145,1,0.4724956964,471
1504808,MASH HOAGIES,D4,15,Brevard,2010,190 MALABAR RD #119,PALM BAY,32907,,,2,4.3333333333,0.419102145,2,0.3567919383,0,0.2904199145,1,0.4724956964,472
1504956,I95 520 BURGER KING,D4,15,Brevard,2010,4600 HWY 520,COCOA,32926,,,2,2.5,0.233206321,1.5,0.2758360573,0,0.2904199145,0.5,0.2874025647,480
1505052,HARBOR GRILL,D4,15,Brevard,2010,100 DATURA DR,INDIAN HARBOR BCH,32937,,,2,5.5,0.5214792751,3.5,0.5967582832,0,0.2904199145,1,0.4724956964,485
1505057,CHICK-FIL-A AT PALM BAY RD,D4,15,Brevard,2010,835 PALM BAY RD,W MELBOURNE,32904,,,3,9.3333333333,0.7712616777,5.6666666667,0.8378271213,0,0.2904199145,0.3333333333,0.2339509874,487
1505081,HAMPTON INN BREAKFAST BAR,D4,15,Brevard,2010,3425 N ATLANTIC AVE,COCOA BCH,32931,,,1,3,0.2841724531,2,0.3567919383,1,0.9018974488,0,0.1068257867,490
1505106,LA QUINTA BREAKFAST,D4,15,Brevard,2010,1275 N ATLANTIC AVE,COCOA BCH,32931,,,2,1,0.0990019535,0.5,0.1247558074,0.5,0.7254695267,0,0.1068257867,492
1505121,DAIRY QUEEN,D4,15,Brevard,2010,7660 N WICKHAM RD,MELBOURNE,32940,,,3,0.6666666667,0.0699793041,0.3333333333,0.1123189107,0.3333333333,0.6322411559,0,0.1068257867,493
1505133,MEG O'MALLEYS,D4,15,Brevard,2010,812 E NEW HAVEN AVE,MELBOURNE,32901,,,2,6,0.5621844839,4.3333333333,0.7070462854,0,0.2904199145,0.3333333333,0.2339509874,494
1505210,DUNKIN DONUTS BASKIN ROBBINS,D4,15,Brevard,2010,1000 SR A1A,SATELLITE BCH,32937,,,2,4.3333333333,0.419102145,2,0.3567919383,0.6666666667,0.8068315893,1.3333333333,0.6019225934,499
1505213,DOMINOS PIZZA,D4,15,Brevard,2010,254 HWY A1A,SATELLITE BCH,32937,,,2,2,0.1845515561,1,0.1951026092,0,0.2904199145,1,0.4724956964,500
1505230,TUSCANY GRIL,D4,15,Brevard,2010,7640 N WICKHAM RD STE 105,MELBOURNE,32940,,,3,10.5,0.8192201311,4.5,0.7258176824,1.25,0.966248235,2.25,0.8340070792,502
1505273,COURTYARD BY MARRIOTT COCOA BC,D4,15,Brevard,2010,3435 N ATLANTIC AVE,COCOA BCH,32931,,,2,3,0.2841724531,2.5,0.4410359568,0,0.2904199145,0.5,0.2874025647,506
1505398,SUBWAY 24136,D4,15,Brevard,2010,1024 HWY A1A #162,SATELLITE BCH,32937,,,1,1,0.0990019535,0,0.0546024255,0,0.2904199145,1,0.4724956964,512
